phone_number,place_id,email,business_name,full_address,street,cid,image,municipality,plus_code,social_media_links,opening_hours,google_map_url,latitude,longitude,reviews_url,average_rating,review_count,website,categories,phones
(202) 862-1600,ChIJFdkk7r-3t4kRbDrFEntEsN8,,The Madison Hotel,"1177 15th St NW, Washington, DC 20005, USA","1177 15th Street Northwest, Washington",16118458361745586796,https://lh3.googleusercontent.com/places/ANJU3Du209AYbD0AE_UaZS0QZRDfItktoyi74JYj1Zd2CPk-w-b85P6vsCVtDvbf-GzSMKT8qzxStFm6Qi-oxriHb0CwkVqMGdrOK5M=s1600-w400,"Washington, DC 20005",87C4WX48+39,,Not Available,https://maps.google.com/?cid=16118458361745586796,38.90523590000001,-77.0340823,https://search.google.com/local/reviews?placeid=ChIJFdkk7r-3t4kRbDrFEntEsN8&q=The+Madison+Hotel%2C+1177+15th+St+NW%2C+Washington%2C+DC+20005%2C+USA&authuser=0&hl=en&gl=US,4.2,1983,http://www.marriott.com/hotels/travel/wasmm-the-madison-hotel/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"lodging, point_of_interest, establishment",+1 202-862-1600
(713) 981-6885,ChIJkbO4lNjDQIYR22W15EMnS8c,,Romana Hotel,"6885 Southwest Fwy, Houston, TX 77074, USA","6885 Southwest Freeway, Houston",14360615009354343899,https://lh3.googleusercontent.com/places/ANJU3DsYoLTyiQckHFcbT0H7IhuU_ix3v8EpsYWLWrP6MGin-FC3h5EZBbxbmPgy_FKLT2r1iMzNcF9aCfF04gO7JC3tv1rMb7Vi8Io=s1600-w400,"Houston, TX 77074",76X6PF6W+89,,Not Available,https://maps.google.com/?cid=14360615009354343899,29.7108146,-95.5040473,https://search.google.com/local/reviews?placeid=ChIJkbO4lNjDQIYR22W15EMnS8c&q=Romana+Hotel%2C+6885+Southwest+Fwy%2C+Houston%2C+TX+77074%2C+USA&authuser=0&hl=en&gl=US,2.3,317,https://romanahotelgalleria.com/,"lodging, point_of_interest, establishment",+1 713-981-6885
0805 513 5939,ChIJwWAlJ_WMOxARWPI2PtmGBTE,,Deke Hotel,"79Karimu, Karimu Ikotun Cl, Oyadiran Estate 101245, Lagos, Nigeria","79Karimu, Karimu Ikotun Close, Lagos",3532377750351835736,https://lh3.googleusercontent.com/places/ANJU3Ds4z8DJaA2ku-yjltuBsfj1T9o3jiD77-rqH7gSm0ifgSerW29A_8FnAXiZjMz56xtGshTOsO3sKUfwQtJilokL_032urDN670=s1600-w400,"Lagos, LA 101245",6FR5G93J+VH,Not Available,"Monday: [8:00 AM – 5:00 PM], Tuesday: [8:00 AM – 5:00 PM], Wednesday: [8:00 AM – 5:00 PM], Thursday: [8:00 AM – 5:00 PM], Friday: [8:00 AM – 5:00 PM], Saturday: [8:00 AM – 5:00 PM], Sunday: [Closed]",https://maps.google.com/?cid=3532377750351835736,6.504638099999999,3.381456099999999,https://search.google.com/local/reviews?placeid=ChIJwWAlJ_WMOxARWPI2PtmGBTE&q=Deke+Hotel%2C+79Karimu%2C+Karimu+Ikotun+Cl%2C+Oyadiran+Estate+101245%2C+Lagos%2C+Nigeria&authuser=0&hl=en&gl=US,3.1,360,,"lodging, point_of_interest, establishment",+234 805 513 5939
01 271 8558,ChIJkdMQtxWSOxARrmeLEalTHBg,,The Classio Hotel by House J,"11Joel Ogunaike Street, Ikeja GRA 101233, Ikeja, Lagos, Nigeria","11Joel Ogunaike Street, Ikeja",1737355541867095982,https://lh3.googleusercontent.com/places/ANJU3Ds5-FAkcg519tWVmUrNyOhhHpzoXoreT2EF--eqsL2-Nr-TwGsRrNXzXtLV-A2eFCxMXfitMewzS_5g7E79-eFTVhNN1tjPDlE=s1600-w400,"Ikeja, LA 101233",6FR5H9P4+G6,Not Available,"Monday: [8:00 AM – 5:00 PM], Tuesday: [8:00 AM – 5:00 PM], Wednesday: [8:00 AM – 5:00 PM], Thursday: [8:00 AM – 5:00 PM], Friday: [8:00 AM – 5:00 PM], Saturday: [8:00 AM – 5:00 PM], Sunday: [Closed]",https://maps.google.com/?cid=1737355541867095982,6.5863204,3.3556103,https://search.google.com/local/reviews?placeid=ChIJkdMQtxWSOxARrmeLEalTHBg&q=The+Classio+Hotel+by+House+J%2C+11Joel+Ogunaike+Street%2C+Ikeja+GRA+101233%2C+Ikeja%2C+Lagos%2C+Nigeria&authuser=0&hl=en&gl=US,4.1,441,,"lodging, point_of_interest, establishment",+234 1 271 8558
0803 135 4342,ChIJcXlz6jaSOxARyYQ_lLPPqgU,,"Oakland Hotel & Suites N12,000","31 Ogundana Street, Off Allen Avenue, Allen 100212, Ikeja, Lagos, Nigeria","31 Ogundana Street, Off Allen Avenue, Ikeja",408367086423737545,https://lh3.googleusercontent.com/places/ANJU3DuLuOCBKMiDWyCj--MCxhxZ8FHCK2JfZJGYLCpfgNP6HM5kFUFPq9UZE6vDag7CSefVBlE88lKuyjX7843kYGEh-D8ZlN1Pkg=s1600-w400,"Ikeja, LA 100212",6FR5J934+64,,"Monday: [Open 24 hours], Tuesday: [Open 24 hours], Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours]",https://maps.google.com/?cid=408367086423737545,6.603027699999999,3.3553272,https://search.google.com/local/reviews?placeid=ChIJcXlz6jaSOxARyYQ_lLPPqgU&q=Oakland+Hotel+%26+Suites+N12%2C000%2C+31+Ogundana+Street%2C+Off+Allen+Avenue%2C+Allen+100212%2C+Ikeja%2C+Lagos%2C+Nigeria&authuser=0&hl=en&gl=US,3.5,146,https://oakland-suites.business.site/,"lodging, point_of_interest, establishment",+234 803 135 4342
0701 814 9757,ChIJuTDNpq2OOxARIAswRKnNLAw,,Paragon Hotel,"24/26 Sanya St, Surulere 101241, Lagos, Nigeria","24/26 Sanya Street, Lagos",877302154307570464,https://lh3.googleusercontent.com/places/ANJU3Du9MfqI3Z_5h4WbRM_rGXEvPKoUTroDcPiCMVqgjeY386CKd444J9fu5cpOBLb6WtyFc5__7OGJIuYGWUFoRW8OEGkgbWEFTBo=s1600-w400,"Lagos, LA 101241",6FR5F8MJ+X5,Not Available,Not Available,https://maps.google.com/?cid=877302154307570464,6.484956599999999,3.3304554,https://search.google.com/local/reviews?placeid=ChIJuTDNpq2OOxARIAswRKnNLAw&q=Paragon+Hotel%2C+24%2F26+Sanya+St%2C+Surulere+101241%2C+Lagos%2C+Nigeria&authuser=0&hl=en&gl=US,3.3,368,,"lodging, point_of_interest, establishment",+234 701 814 9757
(305) 918-8000,ChIJXbbXCuCs2YgRzbV-thyE3NA,,Acqualina Resort & Residences On The Beach,"17875 Collins Ave, Sunny Isles Beach, FL 33160, USA","17875 Collins Avenue, Sunny Isles Beach",15050049313621063117,https://lh3.googleusercontent.com/places/ANJU3DupAhW9QtarcQBG91DGA34eDUJ0zJjhM3Z6dlQDPHdW6HjrZkShS4auEtYUsKwnAB9Ix3M_Iyw-mFiWWbaBhsVuO61SaiWrJfo=s1600-w400,"Sunny Isles Beach, FL 33160",76QXWVRH+8J,,"Monday: [Open 24 hours], Tuesday: [Open 24 hours], Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours]",https://maps.google.com/?cid=15050049313621063117,25.9408209,-80.1209181,https://search.google.com/local/reviews?placeid=ChIJXbbXCuCs2YgRzbV-thyE3NA&q=Acqualina+Resort+%26+Residences+On+The+Beach%2C+17875+Collins+Ave%2C+Sunny+Isles+Beach%2C+FL+33160%2C+USA&authuser=0&hl=en&gl=US,4.7,1834,https://www.acqualinaresort.com/?utm_source=local&utm_medium=organic&utm_campaign=website_link,"spa, lodging, point_of_interest, establishment",+1 305-918-8000
0808 337 3302,ChIJUzBxVxSROxARS3DrM3pm2C0,,Blue iris hotel & suites,"1, Odumosu close, Iju Rd, ifako 100215, Lagos, Nigeria","1, Odumosu close, Iju Road, Lagos",3303503001719369803,https://lh3.googleusercontent.com/places/ANJU3DtaSifySVbQTxSNGcAc1mnqg-eXVSYlp5T-P3GdLRIA66blKqgBEb99v6N-Ob3g8yLW4z02WtDUyMz2WSykaHy3JQoM5uJ0qj8=s1600-w400,"Lagos, LA 100215",6FR5J8PC+JV,,"Monday: [Open 24 hours], Tuesday: [Open 24 hours], Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours]",https://maps.google.com/?cid=3303503001719369803,6.6365222,3.3221614,https://search.google.com/local/reviews?placeid=ChIJUzBxVxSROxARS3DrM3pm2C0&q=Blue+iris+hotel+%26+suites%2C+1%2C+Odumosu+close%2C+Iju+Rd%2C+ifako+100215%2C+Lagos%2C+Nigeria&authuser=0&hl=en&gl=US,3.5,30,https://blue-iris-hotel-suites.business.site/?utm_source=gmb&utm_medium=referral,"lodging, point_of_interest, establishment",+234 808 337 3302
(855) 725-5720,ChIJFQk9KszSzocRizyKl-W1oIQ,,Crescent Hotel and Spa,"75 Prospect Ave, Eureka Springs, AR 72632, USA","75 Prospect Avenue, Eureka Springs",9556838406974749835,https://lh3.googleusercontent.com/places/ANJU3DtrjcWK6vw3Z5wW6HWMCNXnVmASxuL9u6UWO93t_TZnBYOxc6WdXCvPCvGOMA0yW0SvqEuVo2iQlN6ny3pxDeGvR5UJ4p1eShY=s1600-w400,"Eureka Springs, AR 72632",8688C757+62,,"Monday: [Open 24 hours], Tuesday: [Open 24 hours], Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours]",https://maps.google.com/?cid=9556838406974749835,36.4080588,-93.73749409999999,https://search.google.com/local/reviews?placeid=ChIJFQk9KszSzocRizyKl-W1oIQ&q=Crescent+Hotel+and+Spa%2C+75+Prospect+Ave%2C+Eureka+Springs%2C+AR+72632%2C+USA&authuser=0&hl=en&gl=US,4.5,5639,https://www.crescent-hotel.com/,"tourist_attraction, spa, lodging, restaurant, point_of_interest, food, establishment",+1 855-725-5720
(682) 277-4911,ChIJMzwS8XuHToYRlFXoTw8Tun8,,"Live! by Loews - Arlington, Texas","1600 E Randol Mill Rd, Arlington, TX 76011, USA","1600 East Randol Mill Road, Arlington",9203689744971093396,https://lh3.googleusercontent.com/places/ANJU3DtVwddZM1tU8QkCpT5maM1mcOqU2HqfJ4o49glmHwOrFKImQSQFI9ttzCqzgGNt-Qv65WGbG-PMqKmzH3teBnQw6GFI_gBPzU0=s1600-w400,"Arlington, TX 76011",8644PWX7+RP,Facebook:  https://www.facebook.com/LivebyLoewsArlington/   Twitter:  https://www.Twitter.com/Loews_Hotels/    Instagram:  https://www.Instagram.com/livebyloews_arlington/ LinkedIn:  https://www.LinkedIn.com/company/loewshotels/  YouTube_Channel:  https://www.youtube.com/user/loewshotels/  ,"Monday: [Open 24 hours], Tuesday: [Open 24 hours], Wednesday: [Open 24 hours], Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours]",https://maps.google.com/?cid=9203689744971093396,32.7495004,-97.0857001,https://search.google.com/local/reviews?placeid=ChIJMzwS8XuHToYRlFXoTw8Tun8&q=Live%21+by+Loews+-+Arlington%2C+Texas%2C+1600+E+Randol+Mill+Rd%2C+Arlington%2C+TX+76011%2C+USA&authuser=0&hl=en&gl=US,4.5,1462,https://www.loewshotels.com/live-by-loews-arlington-texas,"lodging, point_of_interest, establishment",+1 682-277-4911
